--------- beginning of main
06-12 23:20:28.576 W/ServerBootstrap(21098): Unknown channel option 'SO_KEEPALIVE' for channel '[id: 0x5c9caeec]'
06-12 23:20:28.578 W/ServerBootstrap(21098): Unknown channel option 'TCP_NODELAY' for channel '[id: 0x5c9caeec]'
06-12 23:20:28.580 I/chatty  (  403): uid=0(root) DK-SiCntrl expire 202 lines
--------- beginning of kernel
06-12 23:20:30.011 W/[ 3397.131357@1]  RTW(    0): fill_default_txdesc(wlan0): SP Packet(0x0806) rate=0x4 SeqNum = 1863
06-12 23:20:30.539 D/[ 3397.654446@2]  logd(    0): logdr: UID=0 GID=0 PID=21191 b tail=0 logMask=99 pid=0 start=0ns timeout=0ns
06-12 23:20:30.547 D/[ 3397.666533@2]  logd(    0): Skipping 4294967295 entries from slow reader, pid 21191, from LogBuffer::kickMe()
--------- beginning of system
06-12 23:20:30.946 I/ActivityTaskManager(  637): START u0 {flg=0x10000000 cmp=in.startv.hotstar/com.hotstar.MainActivity} from uid 0
06-12 23:29:54.635 D/rtk_heartbeat(  350): heartbeat_timed_out: heartbeatCmdCount = 3940, expected nextSeqNum = 3940
06-12 23:29:54.639 D/rtk_heartbeat(  350): rtkbt_heartbeat_cmpl_cback: Current SeqNum = 3940,should SeqNum=3940, status = 0
06-12 23:29:54.648 D/stbdpc  (  403): STB_DPGetNumPaths[570]: num_paths: 1
06-12 23:29:54.663 I/FirebaseCrashlytics(23915): Initializing Firebase Crashlytics 19.3.0 for in.startv.hotstar
06-12 23:29:54.677 D/Glide   ( 1786): Finished loading Bitmap from LOCAL for com.bumptech.glide.gifdecoder.StandardGifDecoder@6f5af65 with size [314x176] in 121.51633299999999 ms
06-12 23:29:54.680 I/lowmemorykiller(  231): medium memory pressure event is triggered for new strategy
06-12 23:29:54.680 D/lowmemorykiller(  231): LMKD mp_event_psi kill_reasons available are PRESSURE_AFTER_KILL, NOT_RESPONDING, LOW_SWAP_AND_THRASHING, LOW_MEM_AND_SWAP, LOW_MEM_AND_THRASHING, DIRECT_RECL_AND_THRASHING
06-12 23:29:54.680 D/lowmemorykiller(  231): LMKD mp_event_psi kill_reason received= -1
06-12 23:29:54.681 D/JioStbInactivityTimer(  936): Timer: count 191 warningTimeout:10680 timeout:10800
06-12 23:29:54.681 D/JioStbInactivityTimer(  936): isUserActive: Curr:3769411 Prev:3769411
06-12 23:29:54.701 W/GooglePlayServicesUtil(23915): in.startv.hotstar requires the Google Play Store, but it is missing.
06-12 23:29:54.703 E/DynamiteModule(23915): Invalid GmsCore APK, remote loading disabled.
06-12 23:29:54.715 V/DigitalSignage(  637): Package Name: null
06-12 23:29:54.715 V/DigitalSignage(  637): Left: 0
06-12 23:29:54.715 V/DigitalSignage(  637): Right: 0
06-12 23:29:54.715 V/DigitalSignage(  637): Top: 0
06-12 23:29:54.715 V/DigitalSignage(  637): Bottom: 0
06-12 23:29:54.715 D/DigitalSignage(  637): else - Package Name :: null left : 0 right :: 0 top :: 0 bottom :: 0 dfu-right :: 1920 dfu-bottom :: 1080
06-12 23:29:54.719 D/SessionsDependencies(23915): Subscriber CRASHLYTICS registered.
06-12 23:29:54.721 I/DynamiteModule(23915): Considering local module com.google.android.gms.measurement.dynamite:127 and remote module com.google.android.gms.measurement.dynamite:0
06-12 23:29:54.721 I/DynamiteModule(23915): Selected local version of com.google.android.gms.measurement.dynamite
06-12 23:29:54.743 E/DynamiteModule(23915): Invalid GmsCore APK, remote loading disabled.
06-12 23:29:54.764 W/[ 3961.883439@3]  RTW(    0): fill_default_txdesc(wlan0): SP Packet(0x0806) rate=0x4 SeqNum = 2959
06-12 23:29:54.748 E/BufferQueueProducer(  402): [com.iwedia.ui.rjio.launcher.reliance/com.iwedia.ui.rjio.launcher.ui.intro.IntroActivity#0](id:19200000057,api:0,p:-1,c:402) disconnect: not connected (req=1)
06-12 23:29:54.748 W/libEGL  ( 1786): EGLNativeWindowType 0xeea16808 disconnect failed
06-12 23:29:54.749 D/stbdpc  (  403): STB_DPGetNumPaths[570]: num_paths: 1
06-12 23:29:54.760 V/DigitalSignage(  637): Package Name: null
06-12 23:29:54.760 V/DigitalSignage(  637): Left: 0
06-12 23:29:54.760 V/DigitalSignage(  637): Right: 0
06-12 23:29:54.760 V/DigitalSignage(  637): Top: 0
06-12 23:29:54.760 V/DigitalSignage(  637): Bottom: 0
06-12 23:29:54.760 D/DigitalSignage(  637): else - Package Name :: null left : 0 right :: 0 top :: 0 bottom :: 0 dfu-right :: 1920 dfu-bottom :: 1080
06-12 23:29:54.773 D/JioAppOptimizer( 1707): AppOptimizerService :: handleMessage()
06-12 23:29:54.778 D/JioAppOptimizer( 1707): AppOptimizerService :: handleMessage() : Foreground Package=in.startv.hotstar
06-12 23:29:54.779 D/JioAppOptimizer( 1707): AppOptimizerService :: handleMessage() : Free memory available in MB : 410.015625
06-12 23:29:54.779 D/JioAppOptimizer( 1707): AppOptimizerService :: handleMessage() : checkAndRemoveBackgroundApps()
06-12 23:29:54.779 D/JioAppOptimizer( 1707): AppOptimizerService :: checkAndRemoveBackgroundApps()
06-12 23:29:54.780 I/lowmemorykiller(  231): medium memory pressure event is triggered for new strategy
06-12 23:29:54.780 D/lowmemorykiller(  231): LMKD mp_event_psi kill_reasons available are PRESSURE_AFTER_KILL, NOT_RESPONDING, LOW_SWAP_AND_THRASHING, LOW_MEM_AND_SWAP, LOW_MEM_AND_THRASHING, DIRECT_RECL_AND_THRASHING
06-12 23:29:54.780 D/lowmemorykiller(  231): LMKD mp_event_psi kill_reason received= -1
06-12 23:29:54.781 D/ltts_ip_emm(  403): LTTS_IP_DMXStartEMM[381]: parse_emm_cat_status failed
06-12 23:29:54.787 I/FirebaseInitProvider(23915): FirebaseApp initialization successful
06-12 23:29:54.800 D/WM-WrkMgrInitializer(23915): Initializing WorkManager with default configuration.
06-12 23:29:54.812 I/TetheringManager(23915): registerTetheringEventCallback:in.startv.hotstar
06-12 23:29:54.819 D/Glide   ( 1786): Finished loading Bitmap from LOCAL for com.bumptech.glide.gifdecoder.StandardGifDecoder@6f5af65 with size [314x176] in 141.31033399999998 ms
06-12 23:29:54.847 D/LifecycleServiceBinder(23915): Binding service to application.
06-12 23:29:54.849 D/stbdpc  (  403): STB_DPGetNumPaths[570]: num_paths: 1
06-12 23:29:54.857 E/DynamiteModule(23915): Invalid GmsCore APK, remote loading disabled.
06-12 23:29:54.857 I/DynamiteModule(23915): Considering local module com.google.android.gms.cast_tv_dynamite:1 and remote module com.google.android.gms.cast_tv_dynamite:0
06-12 23:29:54.857 I/DynamiteModule(23915): Selected local version of com.google.android.gms.cast_tv_dynamite
06-12 23:29:54.881 I/lowmemorykiller(  231): medium memory pressure event is triggered for new strategy
06-12 23:29:54.881 D/lowmemorykiller(  231): LMKD mp_event_psi kill_reasons available are PRESSURE_AFTER_KILL, NOT_RESPONDING, LOW_SWAP_AND_THRASHING, LOW_MEM_AND_SWAP, LOW_MEM_AND_THRASHING, DIRECT_RECL_AND_THRASHING
06-12 23:29:54.881 D/lowmemorykiller(  231): LMKD mp_event_psi kill_reason received= -1
06-12 23:29:54.949 D/stbdpc  (  403): STB_DPGetNumPaths[570]: num_paths: 1
06-12 23:29:54.973 D/ConnectivityService(  637): NetReassign [no changes]
06-12 23:29:54.976 I/AmFFmpegExtractor(  465): checkInList: isw:0, m:audio/mpeg, t:1, i:86017 t:0
06-12 23:29:54.976 I/AmFFmpegExtractor(  465): checkInList: isw:1, m:audio/mpeg, t:1, i:86017 t:0
06-12 23:29:54.976 E/AmFFmpegExtractor(  465): codec_ctx->properties: 0
06-12 23:29:54.976 I/AmFFmpegExtractor(  465): checkSupportInList ret 1
06-12 23:29:54.981 I/lowmemorykiller(  231): medium memory pressure event is triggered for new strategy
06-12 23:29:54.981 D/lowmemorykiller(  231): LMKD mp_event_psi kill_reasons available are PRESSURE_AFTER_KILL, NOT_RESPONDING, LOW_SWAP_AND_THRASHING, LOW_MEM_AND_SWAP, LOW_MEM_AND_THRASHING, DIRECT_RECL_AND_THRASHING
06-12 23:29:54.981 D/lowmemorykiller(  231): LMKD mp_event_psi kill_reason received= -1
06-12 23:29:55.000 I/AmFFmpegExtractor(  465): checkInList: isw:0, m:audio/mpeg, t:1, i:86017 t:0
06-12 23:29:55.000 I/AmFFmpegExtractor(  465): checkInList: isw:1, m:audio/mpeg, t:1, i:86017 t:0
06-12 23:29:55.000 E/AmFFmpegExtractor(  465): codec_ctx->properties: 0
06-12 23:29:55.000 I/AmFFmpegExtractor(  465): checkSupportInList ret 0
06-12 23:29:55.001 E/AmFFmpegExtractor(  465): vendor do not support
06-12 23:29:55.004 E/Utils   (  465): did not find channel-count and/or sample-rate
06-12 23:29:55.012 I/AmAVUtils(23915): AmAVUtils, GITINFO : d32b3814175617bb24dd0965983e5642c803ab3a(drm.autobuild  Mon Oct 18 12:59:01 CST 2021)
06-12 23:29:55.012 I/AmAVUtils(23915): set profile 0 level:0
06-12 23:29:55.020 D/dvb_iptv(  403): ReadEmmNetworkTask[1537]: EMM Select Timeout Occured 1
06-12 23:29:55.020 D/stbhwnet(  403): STB_NWDropMembership[1331]: using IPV6 protocol in dropmembership
06-12 23:29:55.020 D/stbhwnet(  403): STB_NWDropMembership[1335]: group_address: '232.24.3.241', source_address: '10.70.220.50'
06-12 23:29:55.020 D/stbhwnet(  403): STB_NWDropMembership[1353]: src url SSM enabled
06-12 23:29:55.021 D/stbhwnet(  403): get_any_multicast_interface[1061]: Found g_nw_interface wlan0, ifindex 8
06-12 23:29:55.021 D/stbhwnet(  403): STB_NWDropMembership[1376]: sockopt_ret: 92 | Protocol not available
06-12 23:29:55.021 D/stbhwnet(  403): STB_NWDropMembership[1377]: Adding source multicast group error
06-12 23:29:55.021 D/stbhwnet(  403): STB_NWDropMembership[1331]: using IPV6 protocol in dropmembership
06-12 23:29:55.021 D/stbhwnet(  403): STB_NWDropMembership[1335]: group_address: '232.24.3.241', source_address: '10.70.220.50'
06-12 23:29:55.021 D/stbhwnet(  403): STB_NWDropMembership[1353]: src url SSM enabled
06-12 23:29:55.022 D/stbhwnet(  403): get_any_multicast_interface[1061]: Found g_nw_interface wlan0, ifindex 8
06-12 23:29:55.022 D/stbhwnet(  403): STB_NWDropMembership[1376]: sockopt_ret: 92 | Protocol not available
06-12 23:29:55.022 D/stbhwnet(  403): STB_NWDropMembership[1377]: Adding source multicast group error
06-12 23:29:55.022 D/stbhwnet(  403): STB_NWDropMembership[1331]: using IPV6 protocol in dropmembership
06-12 23:29:55.022 D/stbhwnet(  403): STB_NWDropMembership[1335]: group_address: '232.24.3.241', source_address: '10.70.220.50'
06-12 23:29:55.022 D/stbhwnet(  403): STB_NWDropMembership[1353]: src url SSM enabled
06-12 23:29:55.023 D/stbhwnet(  403): get_any_multicast_interface[1061]: Found g_nw_interface wlan0, ifindex 8
06-12 23:29:55.023 D/stbhwnet(  403): STB_NWDropMembership[1376]: sockopt_ret: 92 | Protocol not available
06-12 23:29:55.023 D/stbhwnet(  403): STB_NWDropMembership[1377]: Adding source multicast group error
06-12 23:29:55.023 D/stbhwnet(  403): STB_NWDropMembership[1331]: using IPV6 protocol in dropmembership
06-12 23:29:55.023 D/stbhwnet(  403): STB_NWDropMembership[1335]: group_address: '232.24.3.241', source_address: '10.70.220.50'
06-12 23:29:55.024 D/stbhwnet(  403): STB_NWDropMembership[1353]: src url SSM enabled
06-12 23:29:55.024 I/FA      (23915): App measurement initialized, version: 106000
06-12 23:29:55.024 I/FA      (23915): To enable debug logging run: adb shell setprop log.tag.FA VERBOSE
06-12 23:29:55.024 D/stbhwnet(  403): get_any_multicast_interface[1061]: Found g_nw_interface wlan0, ifindex 8
06-12 23:29:55.024 D/stbhwnet(  403): STB_NWDropMembership[1376]: sockopt_ret: 92 | Protocol not available
06-12 23:29:55.024 D/stbhwnet(  403): STB_NWDropMembership[1377]: Adding source multicast group error
06-12 23:29:55.025 E/DvbiInterface(  403): StopStartcurrentemmsession[1192]: sucessfully stop the emm session
06-12 23:29:55.030 I/FA      (23915): To enable faster debug mode event logging run:
06-12 23:29:55.030 I/FA      (23915):   adb shell setprop debug.firebase.analytics.app in.startv.hotstar
06-12 23:29:55.034 D/CCodec  (23915): allocate(c2.android.mp3.decoder)
06-12 23:29:55.037 I/Codec2Client(23915): Available Codec2 services: "software"
06-12 23:29:55.040 I/tomator2.serve(23842): Background concurrent copying GC freed 98194(4844KB) AllocSpace objects, 13(1844KB) LOS objects, 49% free, 8493KB/16MB, paused 4.887ms total 565.654ms
06-12 23:29:55.049 D/stbdpc  (  403): STB_DPGetNumPaths[570]: num_paths: 1
06-12 23:29:55.057 V/C2Store (  479): in init
06-12 23:29:55.057 V/C2Store (  479): loading dll
06-12 23:29:55.081 I/lowmemorykiller(  231): medium memory pressure event is triggered for new strategy
06-12 23:29:55.082 D/lowmemorykiller(  231): LMKD mp_event_psi kill_reasons available are PRESSURE_AFTER_KILL, NOT_RESPONDING, LOW_SWAP_AND_THRASHING, LOW_MEM_AND_SWAP, LOW_MEM_AND_THRASHING, DIRECT_RECL_AND_THRASHING
06-12 23:29:55.082 D/lowmemorykiller(  231): LMKD mp_event_psi kill_reason received= -1
06-12 23:29:55.083 E/QueryController(23842): Got null root node from accessibility - Retrying...
06-12 23:29:55.115 I/CCodec  (23915): Created component [c2.android.mp3.decoder]
06-12 23:29:55.118 D/CCodecConfig(23915): read media type: audio/mpeg
06-12 23:29:55.125 D/ReflectedParamUpdater(23915): extent() != 1 for single value type: algo.buffers.max-count.values
06-12 23:29:55.125 D/ReflectedParamUpdater(23915): extent() != 1 for single value type: output.subscribed-indices.values
06-12 23:29:55.125 D/ReflectedParamUpdater(23915): extent() != 1 for single value type: input.buffers.allocator-ids.values
06-12 23:29:55.126 D/ReflectedParamUpdater(23915): extent() != 1 for single value type: output.buffers.allocator-ids.values
06-12 23:29:55.126 D/ReflectedParamUpdater(23915): extent() != 1 for single value type: algo.buffers.allocator-ids.values
06-12 23:29:55.127 D/ReflectedParamUpdater(23915): extent() != 1 for single value type: output.buffers.pool-ids.values
06-12 23:29:55.127 D/ReflectedParamUpdater(23915): extent() != 1 for single value type: algo.buffers.pool-ids.values
06-12 23:29:55.132 I/CCodecConfig(23915): query failed after returning 7 values (BAD_INDEX)
06-12 23:29:55.132 D/CCodecConfig(23915): c2 config diff is Dict {
06-12 23:29:55.132 D/CCodecConfig(23915):   c2::u32 coded.bitrate.value = 64000
06-12 23:29:55.132 D/CCodecConfig(23915):   c2::u32 input.buffers.max-size.value = 8192
06-12 23:29:55.132 D/CCodecConfig(23915):   c2::u32 input.delay.value = 0
06-12 23:29:55.132 D/CCodecConfig(23915):   string input.media-type.value = "audio/mpeg"
06-12 23:29:55.132 D/CCodecConfig(23915):   string output.media-type.value = "audio/raw"
06-12 23:29:55.132 D/CCodecConfig(23915):   c2::u32 raw.channel-count.value = 2
06-12 23:29:55.132 D/CCodecConfig(23915):   c2::u32 raw.sample-rate.value = 44100
06-12 23:29:55.132 D/CCodecConfig(23915): }
06-12 23:29:55.133 V/FileLogTree(23915): Successfully created log file /data/user/0/in.startv.hotstar/files/logs/HotStarLogs1749751195120.log
06-12 23:29:55.135 D/CCodec  (23915): [c2.android.mp3.decoder] buffers are bound to CCodec for this session
06-12 23:29:55.136 D/CCodecConfig(23915): no c2 equivalents for durationUs
06-12 23:29:55.136 D/CCodecConfig(23915): no c2 equivalents for track-id
06-12 23:29:55.136 D/CCodecConfig(23915): no c2 equivalents for encoder-delay
06-12 23:29:55.136 D/CCodecConfig(23915): no c2 equivalents for encoder-padding
06-12 23:29:55.136 D/CCodecConfig(23915): no c2 equivalents for flags
06-12 23:29:55.137 D/CCodecConfig(23915): c2 config diff is   c2::u32 raw.channel-count.value = 1
06-12 23:29:55.137 D/CCodecConfig(23915):   c2::u32 raw.sample-rate.value = 48000
06-12 23:29:55.138 W/Codec2Client(23915): query -- param skipped: index = 1107298332.
06-12 23:29:55.138 D/CCodec  (23915): setup formats input: AMessage(what = 0x00000000) = {
06-12 23:29:55.138 D/CCodec  (23915):   int32_t channel-count = 1
06-12 23:29:55.138 D/CCodec  (23915):   int32_t max-input-size = 8192
06-12 23:29:55.138 D/CCodec  (23915):   string mime = "audio/mpeg"
06-12 23:29:55.138 D/CCodec  (23915):   int32_t sample-rate = 48000
06-12 23:29:55.138 D/CCodec  (23915): } and output: AMessage(what = 0x00000000) = {
06-12 23:29:55.138 D/CCodec  (23915):   int32_t channel-count = 1
06-12 23:29:55.138 D/CCodec  (23915):   string mime = "audio/raw"
06-12 23:29:55.138 D/CCodec  (23915):   int32_t sample-rate = 48000
06-12 23:29:55.138 D/CCodec  (23915):   int32_t encoder-delay = 576
06-12 23:29:55.138 D/CCodec  (23915):   int32_t encoder-padding = 1152
06-12 23:29:55.138 D/CCodec  (23915): }
06-12 23:29:55.141 W/Codec2Client(23915): query -- param skipped: index = 1342179345.
06-12 23:29:55.141 W/Codec2Client(23915): query -- param skipped: index = 2415921170.
06-12 23:29:55.149 D/stbdpc  (  403): STB_DPGetNumPaths[570]: num_paths: 1
06-12 23:29:55.160 E/FMQ     (23915): grantorIdx must be less than 3
06-12 23:29:55.160 E/FMQ     (23915): grantorIdx must be less than 3
06-12 23:29:55.160 D/CCodecBufferChannel(23915): [c2.android.mp3.decoder#47] Created input block pool with allocatorID 16 => poolID 17 - OK (0)
06-12 23:29:55.163 E/FMQ     (  479): grantorIdx must be less than 3
06-12 23:29:55.163 E/FMQ     (  479): grantorIdx must be less than 3
06-12 23:29:55.165 I/CCodecBufferChannel(23915): [c2.android.mp3.decoder#47] Created output block pool with allocatorID 16 => poolID 45 - OK
06-12 23:29:55.166 D/CCodecBufferChannel(23915): [c2.android.mp3.decoder#47] Configured output block pool ids 45 => OK
06-12 23:29:55.166 E/ion     (23915): ioctl c0044901 failed with code -1: Inappropriate ioctl for device
06-12 23:29:55.169 D/SimpleC2Component(  479): Using output block pool with poolID 45 => got 45 - 0
06-12 23:29:55.179 E/FMQ     (23915): grantorIdx must be less than 3
06-12 23:29:55.180 E/FMQ     (  479): grantorIdx must be less than 3
06-12 23:29:55.182 I/C2SoftMp3Dec(  479): Reconfiguring decoder: 0->48000 Hz, 0->1 channels
06-12 23:29:55.182 I/lowmemorykiller(  231): medium memory pressure event is triggered for new strategy
06-12 23:29:55.182 D/lowmemorykiller(  231): LMKD mp_event_psi kill_reasons available are PRESSURE_AFTER_KILL, NOT_RESPONDING, LOW_SWAP_AND_THRASHING, LOW_MEM_AND_SWAP, LOW_MEM_AND_THRASHING, DIRECT_RECL_AND_THRASHING
06-12 23:29:55.182 D/lowmemorykiller(  231): LMKD mp_event_psi kill_reason received= -1
06-12 23:29:55.183 E/FMQ     (  479): grantorIdx must be less than 3
06-12 23:29:55.184 E/FMQ     (23915): grantorIdx must be less than 3
06-12 23:29:55.185 D/CCodecBuffers(23915): [c2.android.mp3.decoder#47:Output[N]] popFromStashAndRegister: output format changed to AMessage(what = 0x00000000) = {
06-12 23:29:55.185 D/CCodecBuffers(23915):   int32_t channel-count = 1
06-12 23:29:55.185 D/CCodecBuffers(23915):   string mime = "audio/raw"
06-12 23:29:55.185 D/CCodecBuffers(23915):   int32_t sample-rate = 48000
06-12 23:29:55.185 D/CCodecBuffers(23915):   int32_t encoder-delay = 576
06-12 23:29:55.185 D/CCodecBuffers(23915):   int32_t encoder-padding = 1152
06-12 23:29:55.185 D/CCodecBuffers(23915): }
06-12 23:29:55.209 D/CompatibilityChangeReporter(  637): Compat change id reported: 136274596; UID 10072; state: ENABLED
06-12 23:29:55.249 D/SessionLifecycleClient(23915): Queued message 1. Queue size 1
06-12 23:29:55.249 D/stbdpc  (  403): STB_DPGetNumPaths[570]: num_paths: 1
06-12 23:29:55.282 I/lowmemorykiller(  231): medium memory pressure event is triggered for new strategy
06-12 23:29:55.282 D/lowmemorykiller(  231): LMKD mp_event_psi kill_reasons available are PRESSURE_AFTER_KILL, NOT_RESPONDING, LOW_SWAP_AND_THRASHING, LOW_MEM_AND_SWAP, LOW_MEM_AND_THRASHING, DIRECT_RECL_AND_THRASHING
06-12 23:29:55.282 D/lowmemorykiller(  231): LMKD mp_event_psi kill_reason received= -1
06-12 23:29:55.283 V/RootBeer(23915): b: a() [44] - /system/xbin/su binary detected!
06-12 23:29:55.289 V/DigitalSignage(  637): Package Name: null
06-12 23:29:55.289 V/DigitalSignage(  637): Left: 0
06-12 23:29:55.289 V/DigitalSignage(  637): Right: 0
06-12 23:29:55.289 V/DigitalSignage(  637): Top: 0
06-12 23:29:55.289 V/DigitalSignage(  637): Bottom: 0
06-12 23:29:55.290 D/DigitalSignage(  637): else - Package Name :: null left : 0 right :: 0 top :: 0 bottom :: 0 dfu-right :: 1920 dfu-bottom :: 1080
06-12 23:29:55.290 V/DigitalSignage(  637): Package Name: null
06-12 23:29:55.290 V/DigitalSignage(  637): Left: 0
06-12 23:29:55.290 V/DigitalSignage(  637): Right: 0
06-12 23:29:55.290 V/DigitalSignage(  637): Top: 0
06-12 23:29:55.290 V/DigitalSignage(  637): Bottom: 0
06-12 23:29:55.290 D/DigitalSignage(  637): else - Package Name :: null left : 0 right :: 0 top :: 0 bottom :: 0 dfu-right :: 1920 dfu-bottom :: 1080
06-12 23:29:55.314 I/hwservicemanager(  233): getTransport: Cannot find entry android.hardware.configstore@1.0::ISurfaceFlingerConfigs/default in either framework or device manifest.
06-12 23:29:55.350 D/stbdpc  (  403): STB_DPGetNumPaths[570]: num_paths: 1
06-12 23:29:55.383 I/lowmemorykiller(  231): medium memory pressure event is triggered for new strategy
06-12 23:29:55.383 D/lowmemorykiller(  231): LMKD mp_event_psi kill_reasons available are PRESSURE_AFTER_KILL, NOT_RESPONDING, LOW_SWAP_AND_THRASHING, LOW_MEM_AND_SWAP, LOW_MEM_AND_THRASHING, DIRECT_RECL_AND_THRASHING
06-12 23:29:55.383 D/lowmemorykiller(  231): LMKD mp_event_psi kill_reason received= -1
06-12 23:29:55.400 V/DigitalSignage(  637): Package Name: null
06-12 23:29:55.401 V/DigitalSignage(  637): Left: 0
06-12 23:29:55.401 V/DigitalSignage(  637): Right: 0
06-12 23:29:55.401 V/DigitalSignage(  637): Top: 0
06-12 23:29:55.401 V/DigitalSignage(  637): Bottom: 0
06-12 23:29:55.401 D/DigitalSignage(  637): else - Package Name :: null left : 0 right :: 0 top :: 0 bottom :: 0 dfu-right :: 1920 dfu-bottom :: 1080
06-12 23:29:55.402 V/DigitalSignage(  637): Package Name: null
06-12 23:29:55.402 V/DigitalSignage(  637): Left: 0
06-12 23:29:55.402 V/DigitalSignage(  637): Right: 0
06-12 23:29:55.402 V/DigitalSignage(  637): Top: 0
06-12 23:29:55.402 V/DigitalSignage(  637): Bottom: 0
06-12 23:29:55.402 D/DigitalSignage(  637): else - Package Name :: null left : 0 right :: 0 top :: 0 bottom :: 0 dfu-right :: 1920 dfu-bottom :: 1080
06-12 23:29:55.404 V/DigitalSignage(  637): Package Name: null
06-12 23:29:55.404 V/DigitalSignage(  637): Left: 0
06-12 23:29:55.404 V/DigitalSignage(  637): Right: 0
06-12 23:29:55.404 V/DigitalSignage(  637): Top: 0
06-12 23:29:55.405 V/DigitalSignage(  637): Bottom: 0
06-12 23:29:55.405 D/DigitalSignage(  637): else - Package Name :: null left : 0 right :: 0 top :: 0 bottom :: 0 dfu-right :: 1920 dfu-bottom :: 1080
06-12 23:29:55.405 V/DigitalSignage(  637): Package Name: null
06-12 23:29:55.405 V/DigitalSignage(  637): Left: 0
06-12 23:29:55.405 V/DigitalSignage(  637): Right: 0
06-12 23:29:55.405 V/DigitalSignage(  637): Top: 0
06-12 23:29:55.405 V/DigitalSignage(  637): Bottom: 0
06-12 23:29:55.405 D/DigitalSignage(  637): else - Package Name :: null left : 0 right :: 0 top :: 0 bottom :: 0 dfu-right :: 1920 dfu-bottom :: 1080
06-12 23:29:55.424 D/SessionLifecycleService(23915): Service bound to new client on process 23915
06-12 23:29:55.431 D/SessionLifecycleService(23915): App has not yet foregrounded. Using previously stored session.
06-12 23:29:55.431 D/SessionLifecycleService(23915): Client android.os.Messenger@a0106ac bound at 3962540. Clients: 1
06-12 23:29:55.432 V/DigitalSignage(  637): Package Name: null
06-12 23:29:55.433 V/DigitalSignage(  637): Left: 0
06-12 23:29:55.433 V/DigitalSignage(  637): Right: 0
06-12 23:29:55.433 V/DigitalSignage(  637): Top: 0
06-12 23:29:55.433 V/DigitalSignage(  637): Bottom: 0
06-12 23:29:55.433 D/DigitalSignage(  637): else - Package Name :: null left : 0 right :: 0 top :: 0 bottom :: 0 dfu-right :: 1920 dfu-bottom :: 1080
06-12 23:29:55.433 V/DigitalSignage(  637): Package Name: null
06-12 23:29:55.433 V/DigitalSignage(  637): Left: 0
06-12 23:29:55.433 V/DigitalSignage(  637): Right: 0
06-12 23:29:55.433 V/DigitalSignage(  637): Top: 0
06-12 23:29:55.433 V/DigitalSignage(  637): Bottom: 0
06-12 23:29:55.433 D/DigitalSignage(  637): else - Package Name :: null left : 0 right :: 0 top :: 0 bottom :: 0 dfu-right :: 1920 dfu-bottom :: 1080
06-12 23:29:55.444 I/android.hardware.power-service.libperfmgr(  369): Power setBoost: INTERACTION duration: 0
06-12 23:29:55.444 I/libperfmgr(  369): Do Powerhint: INTERACTION
06-12 23:29:55.450 D/stbdpc  (  403): STB_DPGetNumPaths[570]: num_paths: 1
06-12 23:29:55.483 I/lowmemorykiller(  231): medium memory pressure event is triggered for new strategy
06-12 23:29:55.483 D/lowmemorykiller(  231): LMKD mp_event_psi kill_reasons available are PRESSURE_AFTER_KILL, NOT_RESPONDING, LOW_SWAP_AND_THRASHING, LOW_MEM_AND_SWAP, LOW_MEM_AND_THRASHING, DIRECT_RECL_AND_THRASHING
06-12 23:29:55.483 D/lowmemorykiller(  231): LMKD mp_event_psi kill_reason received= -1
06-12 23:29:55.525 D/DvbiInterface(  403): startEmmSession[1104]: primary_address: "rtp://10.70.220.50@232.24.3.241:5001"
06-12 23:29:55.525 D/DvbiInterface(  403): startEmmSession[1114]: secondary_address: ""
06-12 23:29:55.525 I/DvbiInterface(  403): startEmmSession[1136]: IPTV_EMM_Open | [args] URI: "rtp://10.70.220.50@232.24.3.241", port: 5001, fec: 2
06-12 23:29:55.525 D/dvb_iptv(  403): IPTV_Emm_Open[2003]: URL=rtp://10.70.220.50@232.24.3.241, port=5001 fec_layer=2 port1=0, port2=0
06-12 23:29:55.525 D/dvb_iptv(  403): ParseUrl[1748]: before parse | url: "10.70.220.50@232.24.3.241", src_addr: "", mc_addr: ""
06-12 23:29:55.525 D/dvb_iptv(  403): ParseUrl[1811]: after parse | url: "232.24.3.241", src_addr: "10.70.220.50", mc_addr: "232.24.3.241"
06-12 23:29:55.525 D/dvb_iptv(  403): IPTV_Emm_Open[2032]: Found 2 addresses for 232.24.3.241
06-12 23:29:55.525 D/dvb_iptv(  403): IPTV_Emm_Open[2040]: 0: family=IPv4, type=datagram, protocol=UDP, multicast=yes
06-12 23:29:55.525 D/stbhwnet(  403): STB_NWBind[914]: Added IPV4 address to bind:232.24.3.241 
06-12 23:29:55.525 D/stbhwnet(  403): STB_NWBind[921]: Binding with address 232.24.3.241
06-12 23:29:55.525 D/stbhwnet(  403): STB_NWBind[928]: Bind (fd=16) port 5001, done okay
06-12 23:29:55.525 D/dvb_iptv(  403): SocketBind[727]: bound socket, port=5001
06-12 23:29:55.525 D/stbhwnet(  403): STB_NWAddMembership[1139]: using IPV4 protocol
06-12 23:29:55.525 D/stbhwnet(  403): STB_NWAddMembership[1142]: group_address: '232.24.3.241', source_address: '10.70.220.50'
06-12 23:29:55.525 D/stbhwnet(  403): STB_NWAddMembership[1156]: src url SSM enabled
