--------- beginning of kernel
06-12 16:33:40.389 E/[ 6295.741928@1]  selinux(    0): SELinux:  Could not stat /sys/kernel/dmabuf/buffers/1457966/attachments: No such file or directory.
06-12 16:33:40.389 E/[ 6295.741946@1]  selinux(    0):  
06-12 16:33:40.389 E/[ 6295.745638@1]  selinux(    0): SELinux:  Could not stat /sys/kernel/dmabuf/buffers/1457968/attachments: No such file or directory.
06-12 16:33:40.389 E/[ 6295.745654@1]  selinux(    0):  
06-12 16:33:40.565 D/[ 6295.919357@3]  logd(    0): logdr: UID=0 GID=0 PID=8154 b tail=0 logMask=99 pid=0 start=0ns timeout=0ns
06-12 16:33:40.571 D/[ 6295.928255@1]  logd(    0): Skipping 4294967295 entries from slow reader, pid 8154, from LogBuffer::kickMe()
--------- beginning of crash
06-12 16:33:40.707 F/linker  ( 8164): CANNOT LINK EXECUTABLE "/system/bin/smartcable/smartCableSTBApp": library "libmosquitto.so" not found: needed by main executable
06-12 16:37:44.533 D/MediaCodecInfo( 9959): NoSupport [sizeAndRate.support, 1920x1080x25.0] [c2.android.hevc.decoder, video/hevc] [MSTB, JMSB200A, Jio, 30]
06-12 16:37:44.535 D/MediaCodecInfo( 9959): NoSupport [sizeAndRate.support, 1920x1080x25.0] [c2.android.vp9.decoder, video/x-vnd.on2.vp9] [MSTB, JMSB200A, Jio, 30]
06-12 16:37:44.535 D/MediaCodecInfo( 9959): NoSupport [sizeAndRate.support, 1920x1080x25.0] [c2.android.vp9.decoder, video/x-vnd.on2.vp9] [MSTB, JMSB200A, Jio, 30]
06-12 16:37:44.538 D/stbdpc  (  405): STB_DPGetNumPaths[570]: num_paths: 1
06-12 16:37:44.602 D/dvb_iptv(  405): ReadEmmNetworkTask[1537]: EMM Select Timeout Occured 2
06-12 16:37:44.622 I/appium  ( 9760): Took 0ms to retrieve 0 matches for '//android.widget.ImageView[@resource-id='in.startv.hotstar:id/iv_profile']' XPath2 query
06-12 16:37:44.623 I/lowmemorykiller(  233): medium memory pressure event is triggered for new strategy
06-12 16:37:44.623 D/lowmemorykiller(  233): LMKD mp_event_psi kill_reasons available are PRESSURE_AFTER_KILL, NOT_RESPONDING, LOW_SWAP_AND_THRASHING, LOW_MEM_AND_SWAP, LOW_MEM_AND_THRASHING, DIRECT_RECL_AND_THRASHING
06-12 16:37:44.623 D/lowmemorykiller(  233): LMKD mp_event_psi kill_reason received= -1
06-12 16:37:44.631 I/appium  ( 9760): AppiumResponse: {"sessionId":"fe51e66a-9516-420f-92cc-26d6da5ce22a","value":{"error":"no such element","message":"An element could not be located on the page using the given search parameters","stacktrace":"io.appium.uiautomator2.common.exceptions.ElementNotFoundException: An element could not be located on the page using the given search parameters\n\tat io.appium.uiautomator2.utils.ElementLocationHelpers.findElement(ElementLocationHelpers.java:156)\n\tat io.appium.uiautomator2.handler.FindElement.safeHandle(FindElement.java:60)\n\tat io.appium.uiautomator2.handler.request.SafeRequestHandler.handle(SafeRequestHandler.java:59)\n\tat io.appium.uiautomator2.server.AppiumServlet.handleRequest(AppiumServlet.java:259)\n\tat io.appium.uiautomator2.server.AppiumServlet.handleHttpRequest(AppiumServlet.java:253)\n\tat io.appium.uiautomator2.http.ServerHandler.channelRead(ServerHandler.java:77)\n\tat io.netty.channel.AbstractChannelHandlerContext.invokeChannelRead(AbstractChannelHandlerContext.java:374)\n\tat io.netty.channel.AbstractChannelHandlerContext.invokeChannelRead(AbstractChannelHandlerContext.java:360)\n\tat io.netty.channel.AbstractChannelHandlerContext.fireChannelRead(AbstractChannelHandlerContext.java:352)\n\tat io.netty.handler.codec.MessageToMessageDecoder.channelRead(MessageToMessageDecoder.java:102)\n\tat io.netty.channel.AbstractChannelHandlerContext.invokeChannelRead(AbstractChannelHandlerContext.java:374)\n\tat io.netty.channel.AbstractChannelHandlerContext.invokeChannelRead(AbstractChannelHandlerContext.java:360)\n\tat io.netty.channel.AbstractChannelHandlerContext.fireChannelRead(AbstractChannelHandlerContext.java:352)\n\tat io.netty.channel.CombinedChannelDuplexHandler$DelegatingChannelHandlerContext.fireChannelRead(CombinedChannelDuplexHandler.java:438)\n\tat io.netty.handler.codec.ByteToMessageDecoder.fireChannelRead(ByteToMessageDecoder.java:328)\n\tat io.netty.handler.codec.ByteToMessageDecoder.channelRead(ByteToMessageDecoder.java:302)\n\tat io.netty.channel.CombinedChannelDuplexHandler.channelRead(CombinedChannelDuplexHandler.java:253)\n\tat io.netty.channel.AbstractChannelHandlerContext.invokeChannelRead(AbstractChannelHandlerContext.java:374)\n\tat io.netty.channel.AbstractChannelHandlerContext.invokeChannelRead(AbstractChannelHandlerContext.java:360)\n\tat io.netty.channel.AbstractChannelHandlerContext.fireChannelRead(AbstractChannelHandlerContext.java:352)\n\tat io.netty.handler.timeout.IdleStateHandler.channelRead(IdleStateHandler.java:287)\n\tat io.netty.channel.AbstractChannelHandlerContext.invokeChannelRead(AbstractChannelHandlerContext.java:374)\n\tat io.netty.channel.AbstractChannelHandlerContext.invokeChannelRead(AbstractChannelHandlerContext.java:360)\n\tat io.netty.channel.AbstractChannelHandlerContext.fireChannelRead(AbstractChannelHandlerContext.java:352)\n\tat io.netty.channel.DefaultChannelPipeline$HeadContext.channelRead(DefaultChannelPipeline.java:1422)\n\tat io.netty.channel.AbstractChannelHandlerContext.invokeChannelRead(AbstractChannelHandlerContext.java:374)\n\tat io.netty.channel.AbstractChannelHandlerContext.invokeChannelRead(AbstractChannelHandlerContext.java:360)\n\tat io.netty.channel.DefaultChannelPipeline.fireChannelRead(DefaultChannelPipeline.java:931)\n\tat io.netty.channel.nio.AbstractNioByteChannel$NioByteUnsafe.read(AbstractNioByteChannel.java:163)\n\tat io.netty.channel.nio.NioEventLoop.processSelectedKey(NioEventLoop.java:700)\n\tat io.netty.channel.nio.NioEventLoop.processSelectedKeysOptimized(NioEventLoop.java:635)\n\tat io.netty.channel.nio.NioEventLoop.processSelectedKeys(NioEventLoop.java:552)\n\tat io.netty.channel.nio.NioEventLoop.run(NioEventLoop.java:514)\n\tat io.netty.util.concurrent.SingleThreadEventExecutor$6.run(SingleThreadEventExecutor.java:1044)\n\tat io.netty.util.internal.ThreadExecutorMap$2.run(ThreadExecutorMap.java:74)\n\tat io.netty.util.concurrent.FastThreadLocalRunnable.run(FastThreadLocalRunnable.java:30)\n\tat java.lang.Thread.run(Thread.java:923)\n"}}
06-12 16:37:44.638 D/stbdpc  (  405): STB_DPGetNumPaths[570]: num_paths: 1
06-12 16:37:44.723 I/lowmemorykiller(  233): medium memory pressure event is triggered for new strategy
06-12 16:37:44.724 D/lowmemorykiller(  233): LMKD mp_event_psi kill_reasons available are PRESSURE_AFTER_KILL, NOT_RESPONDING, LOW_SWAP_AND_THRASHING, LOW_MEM_AND_SWAP, LOW_MEM_AND_THRASHING, DIRECT_RECL_AND_THRASHING
06-12 16:37:44.724 D/lowmemorykiller(  233): LMKD mp_event_psi kill_reason received= -1
06-12 16:37:44.738 D/stbdpc  (  405): STB_DPGetNumPaths[570]: num_paths: 1
06-12 16:37:44.755 D/JioStbInactivityTimer(  933): Timer: count 33 warningTimeout:10680 timeout:10800
06-12 16:37:44.755 D/JioStbInactivityTimer(  933): isUserActive: Curr:6505983 Prev:6505983
06-12 16:37:44.812 W/[ 6540.165840@1]  RTW(    0): fill_default_txdesc(wlan0): SP Packet(0x0806) rate=0x4 SeqNum = 201
06-12 16:37:44.839 D/stbdpc  (  405): STB_DPGetNumPaths[570]: num_paths: 1
06-12 16:37:45.007 E/TaskPersister(  632): File error accessing recents directory (directory doesn't exist?).
06-12 16:37:44.939 I/chatty  (  405): uid=0(root) DK-SiCntrl identical 1 line
06-12 16:37:45.039 D/stbdpc  (  405): STB_DPGetNumPaths[570]: num_paths: 1
06-12 16:37:45.102 D/dvb_iptv(  405): ReadEmmNetworkTask[1537]: EMM Select Timeout Occured 3
06-12 16:37:45.139 D/stbdpc  (  405): STB_DPGetNumPaths[570]: num_paths: 1
06-12 16:37:45.169 I/appium  ( 9760): channel read: POST /session/fe51e66a-9516-420f-92cc-26d6da5ce22a/element
06-12 16:37:45.170 I/appium  ( 9760): FindElement command
06-12 16:37:45.174 I/appium  ( 9760): method: 'xpath', selector: '//android.widget.ImageView[@resource-id='in.startv.hotstar:id/iv_profile']'
06-12 16:37:45.174 I/appium  ( 9760): Waiting up to 10000ms for the device to idle
06-12 16:37:45.179 I/appium  ( 9760): The following attributes will be included to the page source: [resource-id]
06-12 16:37:45.239 D/stbdpc  (  405): STB_DPGetNumPaths[570]: num_paths: 1
06-12 16:37:45.245 D/rtk_heartbeat(  351): heartbeat_timed_out: heartbeatCmdCount = 6516, expected nextSeqNum = 6516
06-12 16:37:45.247 D/rtk_heartbeat(  351): rtkbt_heartbeat_cmpl_cback: Current SeqNum = 6516,should SeqNum=6516, status = 0
06-12 16:37:45.269 I/appium  ( 9760): Took 0ms to retrieve 0 matches for '//android.widget.ImageView[@resource-id='in.startv.hotstar:id/iv_profile']' XPath2 query
06-12 16:37:45.275 I/appium  ( 9760): AppiumResponse: {"sessionId":"fe51e66a-9516-420f-92cc-26d6da5ce22a","value":{"error":"no such element","message":"An element could not be located on the page using the given search parameters","stacktrace":"io.appium.uiautomator2.common.exceptions.ElementNotFoundException: An element could not be located on the page using the given search parameters\n\tat io.appium.uiautomator2.utils.ElementLocationHelpers.findElement(ElementLocationHelpers.java:156)\n\tat io.appium.uiautomator2.handler.FindElement.safeHandle(FindElement.java:60)\n\tat io.appium.uiautomator2.handler.request.SafeRequestHandler.handle(SafeRequestHandler.java:59)\n\tat io.appium.uiautomator2.server.AppiumServlet.handleRequest(AppiumServlet.java:259)\n\tat io.appium.uiautomator2.server.AppiumServlet.handleHttpRequest(AppiumServlet.java:253)\n\tat io.appium.uiautomator2.http.ServerHandler.channelRead(ServerHandler.java:77)\n\tat io.netty.channel.AbstractChannelHandlerContext.invokeChannelRead(AbstractChannelHandlerContext.java:374)\n\tat io.netty.channel.AbstractChannelHandlerContext.invokeChannelRead(AbstractChannelHandlerContext.java:360)\n\tat io.netty.channel.AbstractChannelHandlerContext.fireChannelRead(AbstractChannelHandlerContext.java:352)\n\tat io.netty.handler.codec.MessageToMessageDecoder.channelRead(MessageToMessageDecoder.java:102)\n\tat io.netty.channel.AbstractChannelHandlerContext.invokeChannelRead(AbstractChannelHandlerContext.java:374)\n\tat io.netty.channel.AbstractChannelHandlerContext.invokeChannelRead(AbstractChannelHandlerContext.java:360)\n\tat io.netty.channel.AbstractChannelHandlerContext.fireChannelRead(AbstractChannelHandlerContext.java:352)\n\tat io.netty.channel.CombinedChannelDuplexHandler$DelegatingChannelHandlerContext.fireChannelRead(CombinedChannelDuplexHandler.java:438)\n\tat io.netty.handler.codec.ByteToMessageDecoder.fireChannelRead(ByteToMessageDecoder.java:328)\n\tat io.netty.handler.codec.ByteToMessageDecoder.channelRead(ByteToMessageDecoder.java:302)\n\tat io.netty.channel.CombinedChannelDuplexHandler.channelRead(CombinedChannelDuplexHandler.java:253)\n\tat io.netty.channel.AbstractChannelHandlerContext.invokeChannelRead(AbstractChannelHandlerContext.java:374)\n\tat io.netty.channel.AbstractChannelHandlerContext.invokeChannelRead(AbstractChannelHandlerContext.java:360)\n\tat io.netty.channel.AbstractChannelHandlerContext.fireChannelRead(AbstractChannelHandlerContext.java:352)\n\tat io.netty.handler.timeout.IdleStateHandler.channelRead(IdleStateHandler.java:287)\n\tat io.netty.channel.AbstractChannelHandlerContext.invokeChannelRead(AbstractChannelHandlerContext.java:374)\n\tat io.netty.channel.AbstractChannelHandlerContext.invokeChannelRead(AbstractChannelHandlerContext.java:360)\n\tat io.netty.channel.AbstractChannelHandlerContext.fireChannelRead(AbstractChannelHandlerContext.java:352)\n\tat io.netty.channel.DefaultChannelPipeline$HeadContext.channelRead(DefaultChannelPipeline.java:1422)\n\tat io.netty.channel.AbstractChannelHandlerContext.invokeChannelRead(AbstractChannelHandlerContext.java:374)\n\tat io.netty.channel.AbstractChannelHandlerContext.invokeChannelRead(AbstractChannelHandlerContext.java:360)\n\tat io.netty.channel.DefaultChannelPipeline.fireChannelRead(DefaultChannelPipeline.java:931)\n\tat io.netty.channel.nio.AbstractNioByteChannel$NioByteUnsafe.read(AbstractNioByteChannel.java:163)\n\tat io.netty.channel.nio.NioEventLoop.processSelectedKey(NioEventLoop.java:700)\n\tat io.netty.channel.nio.NioEventLoop.processSelectedKeysOptimized(NioEventLoop.java:635)\n\tat io.netty.channel.nio.NioEventLoop.processSelectedKeys(NioEventLoop.java:552)\n\tat io.netty.channel.nio.NioEventLoop.run(NioEventLoop.java:514)\n\tat io.netty.util.concurrent.SingleThreadEventExecutor$6.run(SingleThreadEventExecutor.java:1044)\n\tat io.netty.util.internal.ThreadExecutorMap$2.run(ThreadExecutorMap.java:74)\n\tat io.netty.util.concurrent.FastThreadLocalRunnable.run(FastThreadLocalRunnable.java:30)\n\tat java.lang.Thread.run(Thread.java:923)\n"}}
06-12 16:37:45.306 I/.startv.hotsta( 9959): oneway function results will be dropped but finished with status OK and parcel size 4
06-12 16:37:45.309 I/e.swalekh.abct( 1336): oneway function results will be dropped but finished with status OK and parcel size 4
06-12 16:37:45.320 D/JioSTBMRServer-SERVICE( 3304): InetSocketAddress(InetAddress.getByName(inetAddress.hostAddress)-/192.168.1.255
06-12 16:37:45.321 D/JioSTBMRServer-SERVICE( 3304): #beacon:RKISBFJ60000097:0:false:0:1:SV=181024 , 192.168.1.255
06-12 16:37:45.324 D/JioSTBMRServer-SERVICE( 3304): InetSocketAddress(InetAddress.getByName(inetAddress.hostAddress)-/192.168.1.255
06-12 16:37:45.324 D/JioSTBMRServer-SERVICE( 3304): #broadcast IP:192.168.1.255
06-12 16:37:45.339 D/stbdpc  (  405): STB_DPGetNumPaths[570]: num_paths: 1
06-12 16:37:45.401 D/ltts_ip_emm(  405): LTTS_IP_DMXStartEMM[381]: parse_emm_cat_status failed
06-12 16:37:45.440 D/stbdpc  (  405): STB_DPGetNumPaths[570]: num_paths: 1
06-12 16:37:45.540 D/stbdpc  (  405): STB_DPGetNumPaths[570]: num_paths: 1
06-12 16:37:45.602 D/dvb_iptv(  405): ReadEmmNetworkTask[1537]: EMM Select Timeout Occured 4
06-12 16:37:45.606 D/MulticastUtils( 1781): Timeout 5000ms IOException:Poll timed out
06-12 16:37:45.613 D/JioLauncher( 1781): connected-network-status  1 status true time 0 lPreviousIp [/fe80::1%wlan0, /192.168.1.1] isLiveOnTop() false isOneTimeVisisbleStatus false-remoteConnectedTime-0
06-12 16:37:45.640 D/stbdpc  (  405): STB_DPGetNumPaths[570]: num_paths: 1
06-12 16:37:45.740 D/stbdpc  (  405): STB_DPGetNumPaths[570]: num_paths: 1
06-12 16:37:45.756 D/JioStbInactivityTimer(  933): Timer: count 34 warningTimeout:10680 timeout:10800
06-12 16:37:45.756 D/JioStbInactivityTimer(  933): isUserActive: Curr:6505983 Prev:6505983
06-12 16:37:45.772 E/ocessService0:( 2273): failed to create Unix domain socket: Operation not permitted
06-12 16:37:45.782 I/ThermalService(  986): CPU temperatures: [72.8]
06-12 16:37:45.803 I/appium  ( 9760): channel read: POST /session/fe51e66a-9516-420f-92cc-26d6da5ce22a/element
06-12 16:37:45.805 I/appium  ( 9760): FindElement command
06-12 16:37:45.805 E/WifiVendorHal(  632): getWifiLinkLayerStats_1_3_Internal(l.973) failed {.code = ERROR_UNKNOWN, .description = unknown error}
06-12 16:37:45.809 I/appium  ( 9760): method: 'xpath', selector: '//android.widget.ImageView[@resource-id='in.startv.hotstar:id/iv_profile']'
06-12 16:37:45.809 I/appium  ( 9760): Waiting up to 10000ms for the device to idle
06-12 16:37:45.815 I/appium  ( 9760): The following attributes will be included to the page source: [resource-id]
06-12 16:37:45.840 D/stbdpc  (  405): STB_DPGetNumPaths[570]: num_paths: 1
06-12 16:37:45.867 I/TRuntime.CctTransportBackend( 9959): Making request to: https://crashlyticsreports-pa.googleapis.com/v1/firelog/legacy/batchlog
06-12 16:37:45.907 I/appium  ( 9760): Took 0ms to retrieve 0 matches for '//android.widget.ImageView[@resource-id='in.startv.hotstar:id/iv_profile']' XPath2 query
06-12 16:37:45.914 I/appium  ( 9760): AppiumResponse: {"sessionId":"fe51e66a-9516-420f-92cc-26d6da5ce22a","value":{"error":"no such element","message":"An element could not be located on the page using the given search parameters","stacktrace":"io.appium.uiautomator2.common.exceptions.ElementNotFoundException: An element could not be located on the page using the given search parameters\n\tat io.appium.uiautomator2.utils.ElementLocationHelpers.findElement(ElementLocationHelpers.java:156)\n\tat io.appium.uiautomator2.handler.FindElement.safeHandle(FindElement.java:60)\n\tat io.appium.uiautomator2.handler.request.SafeRequestHandler.handle(SafeRequestHandler.java:59)\n\tat io.appium.uiautomator2.server.AppiumServlet.handleRequest(AppiumServlet.java:259)\n\tat io.appium.uiautomator2.server.AppiumServlet.handleHttpRequest(AppiumServlet.java:253)\n\tat io.appium.uiautomator2.http.ServerHandler.channelRead(ServerHandler.java:77)\n\tat io.netty.channel.AbstractChannelHandlerContext.invokeChannelRead(AbstractChannelHandlerContext.java:374)\n\tat io.netty.channel.AbstractChannelHandlerContext.invokeChannelRead(AbstractChannelHandlerContext.java:360)\n\tat io.netty.channel.AbstractChannelHandlerContext.fireChannelRead(AbstractChannelHandlerContext.java:352)\n\tat io.netty.handler.codec.MessageToMessageDecoder.channelRead(MessageToMessageDecoder.java:102)\n\tat io.netty.channel.AbstractChannelHandlerContext.invokeChannelRead(AbstractChannelHandlerContext.java:374)\n\tat io.netty.channel.AbstractChannelHandlerContext.invokeChannelRead(AbstractChannelHandlerContext.java:360)\n\tat io.netty.channel.AbstractChannelHandlerContext.fireChannelRead(AbstractChannelHandlerContext.java:352)\n\tat io.netty.channel.CombinedChannelDuplexHandler$DelegatingChannelHandlerContext.fireChannelRead(CombinedChannelDuplexHandler.java:438)\n\tat io.netty.handler.codec.ByteToMessageDecoder.fireChannelRead(ByteToMessageDecoder.java:328)\n\tat io.netty.handler.codec.ByteToMessageDecoder.channelRead(ByteToMessageDecoder.java:302)\n\tat io.netty.channel.CombinedChannelDuplexHandler.channelRead(CombinedChannelDuplexHandler.java:253)\n\tat io.netty.channel.AbstractChannelHandlerContext.invokeChannelRead(AbstractChannelHandlerContext.java:374)\n\tat io.netty.channel.AbstractChannelHandlerContext.invokeChannelRead(AbstractChannelHandlerContext.java:360)\n\tat io.netty.channel.AbstractChannelHandlerContext.fireChannelRead(AbstractChannelHandlerContext.java:352)\n\tat io.netty.handler.timeout.IdleStateHandler.channelRead(IdleStateHandler.java:287)\n\tat io.netty.channel.AbstractChannelHandlerContext.invokeChannelRead(AbstractChannelHandlerContext.java:374)\n\tat io.netty.channel.AbstractChannelHandlerContext.invokeChannelRead(AbstractChannelHandlerContext.java:360)\n\tat io.netty.channel.AbstractChannelHandlerContext.fireChannelRead(AbstractChannelHandlerContext.java:352)\n\tat io.netty.channel.DefaultChannelPipeline$HeadContext.channelRead(DefaultChannelPipeline.java:1422)\n\tat io.netty.channel.AbstractChannelHandlerContext.invokeChannelRead(AbstractChannelHandlerContext.java:374)\n\tat io.netty.channel.AbstractChannelHandlerContext.invokeChannelRead(AbstractChannelHandlerContext.java:360)\n\tat io.netty.channel.DefaultChannelPipeline.fireChannelRead(DefaultChannelPipeline.java:931)\n\tat io.netty.channel.nio.AbstractNioByteChannel$NioByteUnsafe.read(AbstractNioByteChannel.java:163)\n\tat io.netty.channel.nio.NioEventLoop.processSelectedKey(NioEventLoop.java:700)\n\tat io.netty.channel.nio.NioEventLoop.processSelectedKeysOptimized(NioEventLoop.java:635)\n\tat io.netty.channel.nio.NioEventLoop.processSelectedKeys(NioEventLoop.java:552)\n\tat io.netty.channel.nio.NioEventLoop.run(NioEventLoop.java:514)\n\tat io.netty.util.concurrent.SingleThreadEventExecutor$6.run(SingleThreadEventExecutor.java:1044)\n\tat io.netty.util.internal.ThreadExecutorMap$2.run(ThreadExecutorMap.java:74)\n\tat io.netty.util.concurrent.FastThreadLocalRunnable.run(FastThreadLocalRunnable.java:30)\n\tat java.lang.Thread.run(Thread.java:923)\n"}}
06-12 16:37:45.940 D/stbdpc  (  405): STB_DPGetNumPaths[570]: num_paths: 1
06-12 16:37:45.942 F/linker  (10144): CANNOT LINK EXECUTABLE "/system/bin/smartcable/smartCableSTBApp": library "libmosquitto.so" not found: needed by main executable
06-12 16:37:46.001 D/JioLauncher( 1781): overlay status check for wifi and bt remote false false
06-12 16:37:46.003 D/Match code1( 1449): 2
06-12 16:37:46.004 D/JIO_TR069-( 1449): Predefined List [com.jio.stb.catv, com.rjil.jiostbsetting, com.iwedia.ui.rjio.launcher.reliance, com.jio.stb.hotellauncher, com.jio.media.oberoi, com.jio.ott]
06-12 16:37:46.007 D/JIO_TR069-( 1449): Caller Package com.iwedia.ui.rjio.launcher.reliance
06-12 16:37:46.007 D/JIO_TR069-( 1449): White Listed Apps []
06-12 16:37:46.007 D/JIO_TR069-( 1449): Final White Listed Apps [com.jio.stb.catv, com.rjil.jiostbsetting, com.iwedia.ui.rjio.launcher.reliance, com.jio.stb.hotellauncher, com.jio.media.oberoi, com.jio.ott, ]
06-12 16:37:46.011 D/JioLauncher( 1781): network-type-------NonJioNetwork
06-12 16:37:46.017 D/JioLauncher( 1781): live-tv-previousIp-[/fe80::1%wlan0, /192.168.1.1]-newHost-[/fe80::1%wlan0, /192.168.1.1]
06-12 16:37:46.040 I/thermal2(  370): Sending notification:  Type: CPU Name: soc_thermal CurrentValue: 73.2 ThrottlingStatus: LIGHT
06-12 16:37:46.041 D/stbdpc  (  405): STB_DPGetNumPaths[570]: num_paths: 1
06-12 16:37:46.102 D/dvb_iptv(  405): ReadEmmNetworkTask[1537]: EMM Select Timeout Occured 5
06-12 16:37:46.141 D/stbdpc  (  405): STB_DPGetNumPaths[570]: num_paths: 1
06-12 16:37:46.241 D/stbdpc  (  405): STB_DPGetNumPaths[570]: num_paths: 1
06-12 16:37:46.245 D/rtk_heartbeat(  351): heartbeat_timed_out: heartbeatCmdCount = 6517, expected nextSeqNum = 6517
06-12 16:37:46.248 D/rtk_heartbeat(  351): rtkbt_heartbeat_cmpl_cback: Current SeqNum = 6517,should SeqNum=6517, status = 0
06-12 16:37:46.341 D/stbdpc  (  405): STB_DPGetNumPaths[570]: num_paths: 1
06-12 16:37:46.441 I/appium  ( 9760): channel read: POST /session/fe51e66a-9516-420f-92cc-26d6da5ce22a/element
06-12 16:37:46.441 D/stbdpc  (  405): STB_DPGetNumPaths[570]: num_paths: 1
06-12 16:37:46.443 I/appium  ( 9760): FindElement command
06-12 16:37:46.446 I/appium  ( 9760): method: 'xpath', selector: '//android.widget.ImageView[@resource-id='in.startv.hotstar:id/iv_profile']'
06-12 16:37:46.446 I/appium  ( 9760): Waiting up to 10000ms for the device to idle
06-12 16:37:46.451 I/appium  ( 9760): The following attributes will be included to the page source: [resource-id]
06-12 16:37:46.542 D/stbdpc  (  405): STB_DPGetNumPaths[570]: num_paths: 1
06-12 16:37:46.542 I/appium  ( 9760): Took 0ms to retrieve 0 matches for '//android.widget.ImageView[@resource-id='in.startv.hotstar:id/iv_profile']' XPath2 query
06-12 16:37:46.549 I/appium  ( 9760): AppiumResponse: {"sessionId":"fe51e66a-9516-420f-92cc-26d6da5ce22a","value":{"error":"no such element","message":"An element could not be located on the page using the given search parameters","stacktrace":"io.appium.uiautomator2.common.exceptions.ElementNotFoundException: An element could not be located on the page using the given search parameters\n\tat io.appium.uiautomator2.utils.ElementLocationHelpers.findElement(ElementLocationHelpers.java:156)\n\tat io.appium.uiautomator2.handler.FindElement.safeHandle(FindElement.java:60)\n\tat io.appium.uiautomator2.handler.request.SafeRequestHandler.handle(SafeRequestHandler.java:59)\n\tat io.appium.uiautomator2.server.AppiumServlet.handleRequest(AppiumServlet.java:259)\n\tat io.appium.uiautomator2.server.AppiumServlet.handleHttpRequest(AppiumServlet.java:253)\n\tat io.appium.uiautomator2.http.ServerHandler.channelRead(ServerHandler.java:77)\n\tat io.netty.channel.AbstractChannelHandlerContext.invokeChannelRead(AbstractChannelHandlerContext.java:374)\n\tat io.netty.channel.AbstractChannelHandlerContext.invokeChannelRead(AbstractChannelHandlerContext.java:360)\n\tat io.netty.channel.AbstractChannelHandlerContext.fireChannelRead(AbstractChannelHandlerContext.java:352)\n\tat io.netty.handler.codec.MessageToMessageDecoder.channelRead(MessageToMessageDecoder.java:102)\n\tat io.netty.channel.AbstractChannelHandlerContext.invokeChannelRead(AbstractChannelHandlerContext.java:374)\n\tat io.netty.channel.AbstractChannelHandlerContext.invokeChannelRead(AbstractChannelHandlerContext.java:360)\n\tat io.netty.channel.AbstractChannelHandlerContext.fireChannelRead(AbstractChannelHandlerContext.java:352)\n\tat io.netty.channel.CombinedChannelDuplexHandler$DelegatingChannelHandlerContext.fireChannelRead(CombinedChannelDuplexHandler.java:438)\n\tat io.netty.handler.codec.ByteToMessageDecoder.fireChannelRead(ByteToMessageDecoder.java:328)\n\tat io.netty.handler.codec.ByteToMessageDecoder.channelRead(ByteToMessageDecoder.java:302)\n\tat io.netty.channel.CombinedChannelDuplexHandler.channelRead(CombinedChannelDuplexHandler.java:253)\n\tat io.netty.channel.AbstractChannelHandlerContext.invokeChannelRead(AbstractChannelHandlerContext.java:374)\n\tat io.netty.channel.AbstractChannelHandlerContext.invokeChannelRead(AbstractChannelHandlerContext.java:360)\n\tat io.netty.channel.AbstractChannelHandlerContext.fireChannelRead(AbstractChannelHandlerContext.java:352)\n\tat io.netty.handler.timeout.IdleStateHandler.channelRead(IdleStateHandler.java:287)\n\tat io.netty.channel.AbstractChannelHandlerContext.invokeChannelRead(AbstractChannelHandlerContext.java:374)\n\tat io.netty.channel.AbstractChannelHandlerContext.invokeChannelRead(AbstractChannelHandlerContext.java:360)\n\tat io.netty.channel.AbstractChannelHandlerContext.fireChannelRead(AbstractChannelHandlerContext.java:352)\n\tat io.netty.channel.DefaultChannelPipeline$HeadContext.channelRead(DefaultChannelPipeline.java:1422)\n\tat io.netty.channel.AbstractChannelHandlerContext.invokeChannelRead(AbstractChannelHandlerContext.java:374)\n\tat io.netty.channel.AbstractChannelHandlerContext.invokeChannelRead(AbstractChannelHandlerContext.java:360)\n\tat io.netty.channel.DefaultChannelPipeline.fireChannelRead(DefaultChannelPipeline.java:931)\n\tat io.netty.channel.nio.AbstractNioByteChannel$NioByteUnsafe.read(AbstractNioByteChannel.java:163)\n\tat io.netty.channel.nio.NioEventLoop.processSelectedKey(NioEventLoop.java:700)\n\tat io.netty.channel.nio.NioEventLoop.processSelectedKeysOptimized(NioEventLoop.java:635)\n\tat io.netty.channel.nio.NioEventLoop.processSelectedKeys(NioEventLoop.java:552)\n\tat io.netty.channel.nio.NioEventLoop.run(NioEventLoop.java:514)\n\tat io.netty.util.concurrent.SingleThreadEventExecutor$6.run(SingleThreadEventExecutor.java:1044)\n\tat io.netty.util.internal.ThreadExecutorMap$2.run(ThreadExecutorMap.java:74)\n\tat io.netty.util.concurrent.FastThreadLocalRunnable.run(FastThreadLocalRunnable.java:30)\n\tat java.lang.Thread.run(Thread.java:923)\n"}}
06-12 16:37:46.603 D/dvb_iptv(  405): ReadEmmNetworkTask[1537]: EMM Select Timeout Occured 6
06-12 16:37:46.603 D/DvbiInterface(  405): updateemmstatus[1325]:  EMM_status:0
06-12 16:37:46.642 D/stbdpc  (  405): STB_DPGetNumPaths[570]: num_paths: 1
06-12 16:37:46.742 D/stbdpc  (  405): STB_DPGetNumPaths[570]: num_paths: 1
06-12 16:37:46.748 I/system_server(  632): oneway function results will be dropped but finished with status OK and parcel size 4
06-12 16:37:46.748 W/APM::AudioPolicyEngine(  390): getDevicesForStrategy() unknown strategy: -1
